Zip,Median_Income,Mean_Income,Pop
27401,26808,32835,20661
49503,32317,44104,38225
29601,34024,50723,8840
81601,46364,56974,11594
93227,NaN,NaN,NaN
93117,58438,73253,53207
97526,37488,50939,32035
21536,50259,64001,3893
93434,42627,47529,7110
73044,44553,58084,18094
93433,47851,60711,13162
83530,35169,42590,5404
38930,24061,35787,28163
21740,36207,46997,48570
28345,35793,43701,12373
17101,28896,35877,2016
68901,43343,54162,26316
59501,43584,55272,13247
94541,56648,67347,61635
39083,34868,45984,10310
39401,27649,38826,40837
54016,82758,100682,30108
95448,64867,89119,16852
65041,44027,55026,5725
84526,45178,58784,4134
92545,45146,56119,39457
25425,73070,88580,12835
16652,41432,51624,17877
49931,25939,42460,9027
1832,57959,69232,21246
25951,26993,35825,6208
55037,40556,49332,4242
49930,34407,49397,6490
68949,43510,55260,6865
70401,40381,60127,20415
46320,26532,35662,15508
92543,33320,42281,33555
60430,73481,84573,20094
93230,53665,64139,65264
21750,45339,52784,4055
33021,57047,73230,45921
49423,41051,51524,43185
97031,52806,64528,16536
77002,75332,106503,16793
27260,23846,29266,25307
12534,43950,61726,18812
25701,34304,47819,23284
67501,34577,43820,27212
49329,46527,53237,7234
92201,46951,57831,61827
64050,35244,43671,22178
46225,28947,37214,7319
92618,95198,103094,16366
95641,44587,53808,1986
39201,16235,30247,1212
32209,23838,33576,34305
65101,54903,63259,30587
14701,35340,43753,38250
95529,NaN,NaN,NaN
60431,75602,82120,22577
31545,35806,47065,16133
15901,20686,27975,5427
53545,52257,63681,23117
49201,40760,49592,37905
49007,22183,34657,12175
28081,39161,51497,23423
64108,35979,52408,7584
61443,32930,46070,14214
98626,45288,55390,24523
97601,40019,54846,21760
93930,53175,63466,15866
49649,52279,60744,5579
76541,33641,41887,19206
2892,80222,98074,4846
34741,37275,43048,40828
60901,41409,50063,37157
49646,38687,46945,8163
86401,45673,57517,24289
21638,82921,99875,3973
93239,38150,47669,1654
99141,42733,50845,5240
29556,25267,35053,12870
63122,83321,117208,38495
15650,46757,58741,28611
97850,42948,54702,16264
47901,29392,39962,3518
60525,85155,118292,31168
81050,39971,47458,9894
33801,36716,45088,33741
49946,41326,48663,4148
63549,33250,40828,2742
89111,NaN,NaN,NaN
39440,29516,46304,20731
90012,39775,45188,27522
90802,42565,54160,39296
90802,42565,54160,39296
91214,89001,105687,30356
70601,27784,40279,30279
62656,46727,57069,20405
93534,41140,51146,39341
88045,37672,45291,4428
8083,70544,78387,9684
64063,66227,71702,20374
95585,31094,43696,508
98826,47329,59039,6504
17044,33428,42681,21542
27292,38743,48909,38995
70501,28183,38288,31358
92008,66276,82008,27649
59923,29660,42812,10019
94550,102388,118144,46896
33801,36716,45088,33741
99148,42982,59258,2106
93245,54228,63767,37412
93245,54228,63767,37412
77568,49853,58843,14308
81052,34199,43707,9534
87540,61620,83474,790
17602,40530,50740,46699
68508,16578,23550,13175
92677,97860,128479,63297
48823,35754,50589,42012
89029,43073,54120,7096
95240,44548,57020,47172
93436,54839,68867,54017
22079,95019,112444,32059
12946,46443,63867,5079
48446,45435,54951,26565
97739,39151,51759,8529
93437,51439,60629,3338
92253,73513,107075,37262
66044,28633,40341,28417
72201,24218,41541,1024
54601,44025,55335,49282
87701,31055,43929,20848
3561,44787,53312,5864
95330,66803,78436,17853
93543,54228,61707,13033
95454,31094,43696,2556
40203,16629,25932,19694
95541,NaN,NaN,NaN
89101,29139,35641,50493
75602,32025,42322,23286
98826,47329,59039,6504
83501,44428,56436,34230
24501,32650,43824,26757
61455,29187,38766,22086
49701,24597,32232,663
59538,36453,54535,3170
64658,37492,50979,3277
61938,39358,52525,22409
41056,38254,53217,14228
83638,50378,65275,5903
39648,28673,41202,21060
95340,51764,70079,33931
76657,56316,77789,9307
46360,39418,50202,39724
69001,41166,48491,9586
95345,10341,13717,152
93638,40096,52034,49068
61342,51566,66745,9216
98272,72407,79134,27942
39301,28324,43235,27510
38103,22331,33391,7011
8830,84221,92468,16447
98272,72407,79134,27942
97501,38511,45581,36982
33407,40706,52648,29659
95037,99390,120102,45579
75670,30012,40990,17290
3101,28275,44234,2754
33147,29739,37854,46933
17057,56319,65179,21757
75773,42409,56655,12791
17552,58269,69467,14316
53221,49337,57263,37701
53203,70203,75795,938
95519,46400,59470,17432
61265,47599,62183,45099
98837,47764,60556,39722
49659,35395,43159,6305
93546,57254,70569,9567
25136,32188,40780,1798
97106,76150,84647,4042
54751,43365,52516,25642
83843,33966,45745,25866
95355,62447,77860,58311
93501,26915,44205,5467
58701,44597,60255,24691
92508,90629,101498,35000
93021,99132,118520,36422
49855,42432,55321,30454
25401,37735,54108,14622
85139,56815,62762,17878
95338,32920,42259,7738
95338,32920,42259,7738
95901,48492,56581,31314
93940,70709,85654,31615
53532,72839,80211,13606
54455,64697,69699,17029
53706,6359,7295,1983
55114,34268,43246,1310
20110,79914,91429,43876
54220,46416,58462,40220
49663,10208,12013,1414
52641,40778,58776,12357
94553,73754,87258,47065
72104,37364,47683,23354
98273,47849,62558,28717
54143,41980,53176,15225
93940,70709,85654,31615
93940,70709,85654,31615
93940,70709,85654,31615
93940,70709,85654,31615
83651,40616,49821,28611
94559,58468,75492,26848
38059,41605,48304,7663
1950,76313,102337,17249
49117,47222,83580,4260
75965,36168,52145,17591
97301,34576,43916,51569
20784,58582,66689,27921
92363,31800,48123,5321
67114,43536,55306,21852
23510,46579,69739,7031
14305,24090,32599,15249
91321,61581,77545,34882
3256,585,695,16
6519,30676,41001,16428
70560,39644,49143,42022
49120,42539,51860,35623
70113,21198,32140,7025
73069,38614,53598,22229
23601,51438,61340,25127
97365,48879,61127,10367
60540,101810,136790,42910
94559,58468,75492,26848
19711,77476,90701,51322
10801,58707,80358,36356
27607,62720,87103,18576
7102,31137,41233,13096
13209,47372,57348,13433
10001,71245,123113,17678
94621,32543,40862,29870
34470,35623,44969,17838
21842,56375,81854,10190
54153,44725,52119,7252
21811,56931,74417,19393
84401,44162,51166,35622
92866,61014,71130,14885
98840,35551,47950,4851
73102,35294,39370,3362
34972,42764,48779,20180
94607,36748,48019,24978
92110,56963,71843,25341
98513,66040,77744,31975
68108,33880,39677,13855
98841,39328,50825,9197
91764,51469,58580,54086
97914,24811,34290,14798
97045,62817,74453,45354
32806,53833,74808,24820
95965,36754,49239,20384
6475,78292,97075,10242
50213,47127,59482,6812
92054,53634,67632,40375
54902,46347,59284,22375
54901,39864,51423,37710
52501,39972,51304,30220
21113,88403,98278,20632
48867,40743,49283,27495
93030,52932,66188,59372
32177,29934,39061,23128
19301,99899,132560,6439
19365,67678,76072,6492
91101,53376,71309,20460
63901,35595,46435,34665
33980,42279,48639,10322
61356,45089,56027,11281
95667,63660,77408,36726
92260,54344,82261,31753
97209,34518,61098,8395
93907,74063,83919,21726
97209,34518,61098,8395
97801,44767,54092,19118
88354,27195,35682,173
15222,42764,75222,1928
85034,14595,24862,4193
85034,14595,24862,4193
19104,22376,38468,50380
19132,21960,30289,41425
61602,21843,46827,1055
39466,37732,48278,24518
1201,46765,57694,43838
8550,153681,197536,17673
12901,42031,51225,27169
60545,60027,72826,12940
94566,121573,143198,40884
83851,37701,45858,1691
93550,44866,53518,74929
89019,113434,120286,2545
3264,43783,55678,6223
48342,24533,34220,22150
53901,42919,54773,14445
12974,40169,51922,1523
61764,46457,58754,14460
4102,50475,62791,16875
91768,52262,54887,34148
12601,47533,60335,42242
93446,60862,76121,43714
25907,23111,35308,123
92571,54329,60390,52516
12975,NaN,NaN,NaN
21777,95495,99795,1111
84601,44000,49882,31486
21903,60141,71406,5072
99301,48363,58392,68191
49770,49850,68920,15702
92262,43890,68399,26179
92262,43890,68399,26179
92262,43890,68399,26179
49769,42153,50161,1520
23803,42195,51067,40542
94952,72230,96054,32858
98846,40187,55210,1173
48060,36987,46336,40951
83855,44010,51255,2111
3801,63815,80794,21560
81003,18648,27286,11005
99163,33585,43552,31404
73080,46864,58976,8291
73075,37878,50362,9154
85023,51116,68409,31274
22134,50290,41927,6862
62301,39585,53502,33758
98848,41303,49612,11518
87740,36678,46514,8401
96080,38674,52947,28764
61108,49017,58524,28550
96001,48100,63244,32284
97756,46131,55286,21729
96001,48100,63244,32284
95565,40990,60605,1071
55066,53138,63604,18284
49677,34755,43190,6673
47978,50000,58593,11793
27601,19814,31283,9924
12574,62917,85640,196
94802,NaN,NaN,NaN
92507,43654,51242,58000
49341,72510,85494,28677
61201,41781,54079,39116
20850,105204,126330,31443
95677,73625,81830,23333
27804,47177,64220,25899
89501,25760,34445,2860
97601,40019,54846,21760
14605,18461,27138,14505
4841,30461,41099,7607
13440,48746,56639,44190
48069,106250,130664,2596
94928,62826,73782,43170
97467,33577,45082,5683
12979,50833,59523,2362
95678,65175,76171,41192
2090,116083,154504,14150
61866,37097,50495,14048
99169,42260,52787,2459
58368,36777,44786,4043
23219,23748,32779,3781
23228,47480,55346,34198
94571,54023,66932,7911
95814,26669,37574,9922
87501,58305,92115,16670
28144,37070,53084,25635
92101,39102,64853,32507
4072,42759,46958,12787
93060,53144,66773,32811
12866,62848,79881,34669
78205,25779,69618,1453
93455,65671,78693,41684
31401,22949,39441,21685
93101,52843,70415,31683
33870,31944,39520,20577
59474,38676,46715,3382
95050,65956,83449,35923
56304,37776,49987,15261
70395,59496,76914,4658
95814,26669,37574,9922
95060,68791,88089,46377
86336,49666,83169,11320
70458,58665,68612,35077
12305,29049,35929,6140
98104,23742,44290,13095
65301,37565,47139,34267
93955,56869,64154,32382
32771,50845,67208,48039
94105,112333,156879,5846
94111,93790,135954,3712
94111,93790,135954,3712
94103,53548,77236,27170
94107,99924,135229,26599
94103,53548,77236,27170
94102,29613,44237,31176
94133,45203,71909,22499
83860,50568,65089,6119
48607,16167,21636,2561
53081,43459,51827,43129
71109,24238,32657,22154
54166,43943,55156,17002
83864,40782,56440,17076
93063,87346,101288,54366
95110,55259,68729,18730
49085,59949,78830,23228
98288,81204,94997,333
95203,36215,45357,14142
95202,11516,19668,4212
98288,81204,94997,333
44870,41757,52222,43409
84101,31311,43764,5277
84101,31311,43764,5277
97301,34576,43916,51569
96150,40314,51129,25019
97301,34576,43916,51569
89449,91404,137956,3828
93401,54820,72639,26250
93401,54820,72639,26250
21801,50499,65597,27082
96151,NaN,NaN,NaN
93463,69848,105219,7646
21801,50499,65597,27082
78666,34976,45893,63836
53716,60222,68096,18419
49783,33779,45677,18700
95567,41012,54294,1930
60501,48860,54350,11626
92701,47027,57294,53908
92410,30544,36299,47466
92675,81369,109697,34731
79848,71,83,2
92672,71928,101889,34464
93901,52862,68481,26863
54768,43764,54013,5990
46628,42771,49460,25650
92075,90063,121340,12056
28387,49109,69579,13026
29303,30236,38116,25058
90731,49006,61041,59662
62701,19357,28862,1152
99201,23026,34105,13342
56479,38783,47019,5378
41174,28711,37899,1122
90731,49006,61041,59662
83864,40782,56440,17076
89431,39039,47537,35968
34231,45297,67172,30268
95401,54697,64747,36981
12866,62848,79881,34669
4974,44347,52856,2628
97301,34576,43916,51569
27576,36746,46231,15374
98826,47329,59039,6504
24401,45549,55587,35499
84770,45542,56581,39131
49781,39908,49311,4347
63103,30592,38502,6900
58784,64687,74882,1731
33760,37686,50248,15133
98292,70020,80837,20987
94585,71079,77511,28247
97707,43466,54079,5021
92586,44150,54398,19815
98121,53600,77282,12628
54481,41176,53329,29340
53177,54419,65022,8329
54481,41176,53329,29340
95066,101328,127572,14749
13208,29888,39943,21502
98421,53139,101754,1308
76574,45675,52571,17661
30577,34257,48866,22230
35401,17806,26527,39878
97391,45944,56073,5312
93561,39980,52200,23144
83301,43274,51250,52010
97058,45641,55595,18795
25936,23111,35308,43
90502,65676,77097,18010
54660,45820,57896,15688
43604,14028,21627,10700
66607,25311,32217,10498
33602,63003,87600,11515
76501,40849,54724,16897
95376,66504,78392,49859
95377,97487,113808,30902
8609,37656,49264,15001
81082,29134,40605,9502
95316,66360,86624,6573
96161,70848,85620,18451
49684,51850,66260,33463
86023,44287,57775,2627
98188,44313,53563,23111
85701,26800,39306,4983
32159,42451,54471,28867
48763,36607,47280,4808
71854,39975,49131,36420
16686,43882,51955,13668
13501,32334,44172,35933
95482,48088,59227,31808
27110,22331,31546,1141
23451,65356,92427,41544
97918,41062,44637,4653
81657,72693,128226,5581
94589,61961,70062,29870
98660,40658,50149,11858
94550,102388,118144,46896
93003,73451,84286,50474
93291,54877,71466,52849
94589,61961,70062,29870
91405,37227,51709,51145
92395,43981,54053,42400
92395,43981,54053,42400
5676,63664,76103,4984
93280,18916,23420,14134
63090,52041,63392,21524
64093,41215,52054,27608
20002,61221,78786,52365
54981,42935,54275,15426
23185,71872,90470,46370
90045,93889,111843,39476
97503,48672,58660,8818
22194,NaN,NaN,NaN
53965,46983,58318,10398
32694,57239,59795,2142
4572,42201,56054,4915
4090,63243,72031,9397
98801,49867,62205,40977
90024,52965,88018,33588
6492,73757,86116,45241
59937,46981,62532,11300
59936,39009,51310,407
12887,44733,52257,5899
98673,42799,52938,404
19801,26798,37629,16286
55987,40680,52306,35052
80442,60942,68444,2309
54499,43695,51548,3223
27893,32081,39917,40502
86047,44099,53411,14970
2891,61399,74554,21338
86046,44865,55322,6090
86046,44865,55322,6090
6095,78615,92275,29079
49796,52500,81831,303
6096,61164,71015,12498
5089,48659,60022,4979
89445,54043,61345,14295
72476,26140,35010,7155
27101,29327,41043,19488
97146,43789,55373,5012
1801,71805,79381,37213
1604,47438,59373,33032
33401,39186,62035,24879
32789,73938,120792,24557
53963,45255,53758,13910
59201,45065,51749,5074
5001,50513,63764,9123
94585,71079,77511,28247
53964,28928,33533,2378
54403,50831,60176,21751
12993,50337,59415,1719
24986,32111,39172,5216
4578,43799,57895,4350
54474,60361,69036,4019
33880,41370,50559,37798
46793,45007,52119,4292
58801,54983,67305,15914
95490,41558,55925,13264
99362,85482,109330,35927
34785,21511,29473,11009
39194,26788,38271,20720
29945,25793,31971,3635
10701,44417,56331,61035
95389,64738,79666,1272
95389,64738,79666,1272
95389,64738,79666,1272
95389,64738,79666,1272
95389,64738,79666,1272
95389,64738,79666,1272
95389,64738,79666,1272
85364,42195,51349,74904
